step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
67287,166.0,166,,,,,
67529,242.0,242,,,,,
67584,,,92.46694946289062,1.0706331729888916,0.5310295820236206,0.07765741646289825,0.24609375
67677,148.0,148,,,,,
67868,191.0,191,,,,,
67970,102.0,102,,,,,
68170,200.0,200,,,,,
68329,159.0,159,,,,,
68500,171.0,171,,,,,
68517,17.0,17,,,,,
68649,132.0,132,,,,,
68758,109.0,109,,,,,
68909,151.0,151,,,,,
69057,148.0,148,,,,,
69194,137.0,137,,,,,
69345,151.0,151,,,,,
69533,188.0,188,,,,,
69632,,,34.27061462402344,-1.5770310163497925,0.5969414710998535,0.02972458302974701,0.24609375
69683,150.0,150,,,,,
69835,152.0,152,,,,,
69996,161.0,161,,,,,
70076,80.0,80,,,,,
70177,101.0,101,,,,,
70291,114.0,114,,,,,
70456,165.0,165,,,,,
70709,253.0,253,,,,,
70864,155.0,155,,,,,
70906,42.0,42,,,,,
70957,51.0,51,,,,,
71119,162.0,162,,,,,
71156,37.0,37,,,,,
71326,170.0,170,,,,,
71381,55.0,55,,,,,
71407,26.0,26,,,,,
71545,138.0,138,,,,,
71680,,,80.34940338134766,0.6203756332397461,0.5607296228408813,0.10386433452367783,0.1953125
71701,156.0,156,,,,,
71841,140.0,140,,,,,
72167,326.0,326,,,,,
72199,32.0,32,,,,,
72398,199.0,199,,,,,
72451,53.0,53,,,,,
72650,199.0,199,,,,,
72929,279.0,279,,,,,
73108,179.0,179,,,,,
73290,182.0,182,,,,,
73522,232.0,232,,,,,
73539,17.0,17,,,,,
73728,,,57.69264221191406,-2.1841676235198975,0.550121009349823,0.08538809418678284,0.18359375
73742,203.0,203,,,,,
74242,500.0,500,,,,,
74476,234.0,234,,,,,
74976,500.0,500,,,,,
75113,137.0,137,,,,,
75613,500.0,500,,,,,
75776,,,47.89990234375,-5.089268207550049,0.6001033782958984,0.013465608470141888,0.16015625
76007,394.0,394,,,,,
76038,31.0,31,,,,,
76074,36.0,36,,,,,
76106,32.0,32,,,,,
76142,36.0,36,,,,,
76463,321.0,321,,,,,
76963,500.0,500,,,,,
77000,37.0,37,,,,,
77033,33.0,33,,,,,
77160,127.0,127,,,,,
77288,128.0,128,,,,,
77312,24.0,24,,,,,
77452,140.0,140,,,,,
77477,25.0,25,,,,,
77495,18.0,18,,,,,
77615,120.0,120,,,,,
77639,24.0,24,,,,,
77824,,,151.56610107421875,1.1022485494613647,0.5034960508346558,0.053716011345386505,0.24609375
77829,190.0,190,,,,,
78329,500.0,500,,,,,
78497,168.0,168,,,,,
78627,130.0,130,,,,,
78779,152.0,152,,,,,
79028,249.0,249,,,,,
79181,153.0,153,,,,,
79368,187.0,187,,,,,
79558,190.0,190,,,,,
79729,171.0,171,,,,,
79858,129.0,129,,,,,
79872,,,49.83900833129883,-1.7966697216033936,0.6013964414596558,0.017936348915100098,0.25
79985,127.0,127,,,,,
80220,235.0,235,,,,,
80349,129.0,129,,,,,
80480,131.0,131,,,,,
80671,191.0,191,,,,,
80824,153.0,153,,,,,
80873,49.0,49,,,,,
80936,63.0,63,,,,,
81053,117.0,117,,,,,
81259,206.0,206,,,,,
81484,225.0,225,,,,,
81825,341.0,341,,,,,
81884,59.0,59,,,,,
81920,,,119.35489654541016,-0.623184323310852,0.5593517422676086,0.03473219275474548,0.2890625
82384,500.0,500,,,,,
82627,243.0,243,,,,,
82752,125.0,125,,,,,
82906,154.0,154,,,,,
82971,65.0,65,,,,,
83162,191.0,191,,,,,
83312,150.0,150,,,,,
83542,230.0,230,,,,,
83702,160.0,160,,,,,
83871,169.0,169,,,,,
83968,,,32.23820495605469,-1.9177998304367065,0.6324709057807922,0.018622521311044693,0.15625
84130,259.0,259,,,,,
84191,61.0,61,,,,,
84421,230.0,230,,,,,
84439,18.0,18,,,,,
84939,500.0,500,,,,,
85097,158.0,158,,,,,
85241,144.0,144,,,,,
85406,165.0,165,,,,,
85503,97.0,97,,,,,
85676,173.0,173,,,,,
